Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"South Bend, IN",2014,13,62,,46,,11,,4,,1,,,-,3,,"South Bend, IN
(41.68337879800049, -86.25000955099966)",
"Albuquerque, NM",2014,13,161,,118,,29,,9,,4,,1,,17,,"Albuquerque, NM
(35.084487986000454, -106.65113800499967)",
"Yonkers, NY",2014,13,21,,15,,4,,2,,,-,,-,1,,"Yonkers, NY
(40.93120596400047, -73.89874802099968)",
"Philadelphia, PA",2014,13,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95233962700047, -75.16378785299963)",
"Fall River, MA",2014,13,23,,19,,4,,,-,,-,,-,7,,"Fall River, MA
(41.70148962100046, -71.15504614199966)",
"Las Vegas, NV",2014,13,320,,223,,68,,17,,7,,4,,27,,"Las Vegas, NV
(36.17496648600047, -115.13721702699968)",
"Kansas City, MO",2014,13,129,,92,,25,,5,,2,,3,,6,,"Kansas City, MO
(39.099727095000446, -94.57856716299966)",
"Spokane, WA",2014,13,58,,45,,11,,2,,,-,,-,5,,"Spokane, WA
(47.65965777700046, -117.42907975499969)",
"Atlanta, GA",2014,13,143,,82,,33,,22,,5,,1,,5,,"Atlanta, GA
(33.74899817800048, -84.38797851199968)",
"Tulsa, OK",2014,13,51,,37,,13,,,-,1,,,-,2,,"Tulsa, OK
(36.153975930000456, -95.99277717899969)",
"Glendale, CA",2014,13,37,,31,,5,,1,,,-,,-,6,,"Glendale, CA
(34.142509231000474, -118.2550772519997)",
"St. Paul, MN",2014,13,56,,47,,3,,1,,2,,3,,,-,"St. Paul, MN
(44.94440676300047, -93.0932682299997)",
"Los Angeles, CA",2014,13,262,,171,,58,,18,,8,,7,,28,,"Los Angeles, CA
(34.05222959300045, -118.2436798069997)",
"Colorado Springs, CO",2014,13,75,,49,,19,,4,,3,,,-,3,,"Colorado Springs, CO
(38.83387821800045, -104.82135997799969)",
"Seattle, WA",2014,13,110,,67,,27,,4,,7,,5,,5,,"Seattle, WA
(47.60620722800047, -122.33206864199968)",
"Peoria, IL",2014,13,43,,38,,5,,,-,,-,,-,4,,"Peoria, IL
(40.693645967000464, -89.58898829599968)",
"Worcester, MA",2014,13,84,,56,,20,,2,,3,,3,,10,,"Worcester, MA
(42.26258765200049, -71.80228869399963)",
"Knoxville, TN",2014,13,107,,79,,23,,3,,,-,2,,10,,"Knoxville, TN
(35.96063783700049, -83.92073728699967)",
"Scranton, PA",2014,13,29,,25,,2,,2,,,-,,-,1,,"Scranton, PA
(41.408967214000484, -75.66240917099964)",
"Austin, TX",2014,13,105,,61,,29,,9,,3,,3,,5,,"Austin, TX
(30.26714866600048, -97.74305656899969)",
"Elizabeth, NJ",2014,13,22,,13,,9,,,-,,-,,-,2,,"Elizabeth, NJ
(40.66398921400048, -74.21069962799965)",
"Utica, NY",2014,13,7,,6,,1,,,-,,-,,-,,-,"Utica, NY
(43.10089600800046, -75.23265847499965)",
"Baton Rouge, LA",2014,13,99,,68,,19,,7,,3,,2,,3,,"Baton Rouge, LA
(30.450749661000486, -91.15454629399966)",
"Youngstown, OH",2014,13,68,,56,,9,,2,,1,,,-,,-,"Youngstown, OH
(41.09977835100045, -80.64951776699968)",
"Little Rock, AR",2014,13,69,,43,,19,,4,,1,,2,,5,,"Little Rock, AR
(39.52368635500045, -99.11415045099966)",
"New Bedford, MA",2014,13,24,,21,,2,,1,,,-,,-,1,,"New Bedford, MA
(41.636218666000445, -70.93419759699964)",
"Houston, TX",2014,13,612,,356,,180,,55,,15,,6,,19,,"Houston, TX
(29.763276335000455, -95.36326748399966)",
"Somerville, MA",2014,13,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA
(42.38759957400049, -71.09949878699967)",
"Mobile, AL",2014,13,119,,80,,26,,9,,2,,2,,12,,"Mobile, AL
(30.694357098000467, -88.04304847999964)",
"Lexington, KY",2014,13,75,,42,,23,,9,,1,,,-,3,,"Lexington, KY
(37.988689999000485, -84.47771819999969)",
"Corpus Christi, TX",2014,13,92,,60,,27,,2,,2,,1,,8,,"Corpus Christi, TX
(27.800576119000482, -97.39637717799968)",
"Dallas, TX",2014,13,206,,133,,52,,13,,5,,3,,27,,"Dallas, TX
(32.78305914300046, -96.80666629699965)",
"Pueblo, CO",2014,13,39,,25,,13,,1,,,-,,-,1,,"Pueblo, CO
(38.25444888500044, -104.6091371339997)",
"Albany, NY",2014,13,49,,28,,17,,1,,1,,2,,4,,"Albany, NY
(42.65257553200047, -73.75622822099967)",
"Grand Rapids, MI",2014,13,66,,48,,13,,3,,1,,1,,4,,"Grand Rapids, MI
(42.96335724700049, -85.66808744799965)",
"Cambridge, MA",2014,13,18,,15,,3,,,-,,-,,-,4,,"Cambridge, MA
(42.37509973100049, -71.10560922099967)",
"Jacksonville, FL",2014,13,139,,86,,33,,11,,6,,3,,11,,"Jacksonville, FL
(30.33217664300048, -81.65564707899966)",
"Rockford, IL",2014,13,48,,35,,8,,3,,2,,,-,3,,"Rockford, IL
(42.27112786100048, -89.09399814199969)",
"Chicago, IL",2014,13,269,,185,,69,,12,,3,,,-,17,,"Chicago, IL
(41.850029863000486, -87.65004587999965)",
"Bridgeport, CT",2014,13,26,,20,,6,,,-,,-,,-,1,,"Bridgeport, CT
(41.16703812200046, -73.20482679199966)",
"San Diego, CA",2014,13,164,,108,,43,,10,,2,,1,,9,,"San Diego, CA
(32.71532691700048, -117.15725993099971)",
"Memphis, TN",2014,13,191,,125,,50,,12,,4,,,-,15,,"Memphis, TN
(35.14952946200049, -90.04897619199966)",
"Hartford, CT",2014,13,69,,52,,10,,4,,,-,3,,4,,"Hartford, CT
(41.76370985800048, -72.68508892999967)",
"Santa Cruz, CA",2014,13,26,,22,,3,,1,,,-,,-,2,,"Santa Cruz, CA
(36.97411946900047, -122.0307990449997)",
"Charlotte, NC",2014,13,183,,115,,48,,13,,3,,4,,6,,"Charlotte, NC
(35.22708877800045, -80.84312583499968)",
"Omaha, NE",2014,13,113,,81,,20,,5,,,-,7,,11,,"Omaha, NE
(41.25860914000049, -95.9377877719997)",
"Richmond, VA",2014,13,64,,36,,21,,4,,3,,,-,,-,"Richmond, VA
(37.5537557830005, -77.46025815499968)",
"Trenton, NJ",2014,13,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(40.21704561000047, -74.74293733199966)",
"Camden, NJ",2014,13,,U,,U,,U,,U,,U,,U,,U,"Camden, NJ
(39.925949571000444, -75.11961994399962)",
"Boise, ID",2014,13,61,,43,,13,,4,,1,,,-,5,,"Boise, ID
(43.61349753100046, -116.20344727299971)",
"Lansing, MI",2014,13,71,,47,,17,,6,,,-,1,,4,,"Lansing, MI
(42.732537626000465, -84.55552949299965)",
"San Francisco, CA",2014,13,108,,76,,24,,6,,2,,,-,8,,"San Francisco, CA
(37.774928298000475, -122.41941905199968)",
"Tucson, AZ",2014,13,170,,120,,36,,8,,3,,3,,6,,"Tucson, AZ
(32.22173613300049, -110.92647552399967)",
"Salt Lake City, UT",2014,13,141,,94,,33,,10,,2,,2,,7,,"Salt Lake City, UT
(40.76077974900045, -111.8910466859997)",
"Nashville, TN",2014,13,156,,93,,50,,7,,3,,3,,10,,"Nashville, TN
(36.165886327000464, -86.78443855199964)",
"Lincoln, NC",2014,13,65,,54,,9,,2,,,-,,-,3,,"Lincoln, NC
(40.799998117000484, -96.66695873599969)",
"Sacramento, CA",2014,13,243,,164,,60,,13,,3,,3,,21,,"Sacramento, CA
(38.58156858700045, -121.49439922699969)",
"Milwaukee, WI",2014,13,70,,48,,17,,3,,1,,1,,5,,"Milwaukee, WI
(43.038896251000494, -87.90646812999967)",
"Schenectady, NY",2014,13,19,,16,,3,,,-,,-,,-,3,,"Schenectady, NY
(42.81423655900045, -73.93956823999963)",
"Newark, NJ",2014,13,32,,13,,14,,3,,2,,,-,2,,"Newark, NJ
(40.735658576000446, -74.17236767799966)",
"Miami, FL",2014,13,70,,51,,12,,4,,3,,,-,4,,"Miami, FL
(25.774269795000464, -80.19365598899964)",
"Indianapolis, IN",2014,13,189,,112,,56,,9,,4,,8,,15,,"Indianapolis, IN
(39.768378665000455, -86.15803806899964)",
"San Antonio, TX",2014,13,327,,223,,84,,9,,7,,4,,15,,"San Antonio, TX
(29.424115748000474, -98.49362755099969)",
"Ogden, UT",2014,13,25,,13,,9,,2,,,-,1,,2,,"Ogden, UT
(41.22299943900049, -111.97382551899972)",
"Pittsburgh, PA§",2014,13,40,,31,,8,,,-,1,,,-,2,,"Pittsburgh, PA
(40.44061640300049, -79.99588580599965)",
"Providence, RI",2014,13,64,,42,,15,,3,,2,,2,,,-,"Providence, RI
(41.82398627500049, -71.41282726599962)",
"Paterson, NJ",2014,13,14,,8,,3,,2,,1,,,-,3,,"Paterson, NJ
(40.916766802000495, -74.17180972999967)",
"Allentown, PA",2014,13,19,,15,,4,,,-,,-,,-,,-,"Allentown, PA
(40.60842836000046, -75.49017862299968)",
"Columbus, OH",2014,13,240,,165,,51,,16,,1,,7,,14,,"Columbus, OH
(39.96117680800046, -82.99878617799965)",
"Lynn, MA",2014,13,6,,2,,2,,1,,,-,1,,,-,"Lynn, MA
(42.466756242000486, -70.94948718099965)",
"Phoenix, AZ",2014,13,199,,124,,40,,13,,17,,5,,12,,"Phoenix, AZ
(33.448376522000444, -112.07403573799968)",
"Montgomery, AL",2014,13,49,,19,,11,,11,,7,,1,,2,,"Montgomery, AL
(32.36680719600048, -86.29996842399964)",
"Pasadena, CA",2014,13,30,,21,,8,,1,,,-,,-,2,,"Pasadena, CA
(34.14777824300046, -118.14451799199969)",
"Honolulu, HI",2014,13,81,,58,,12,,7,,1,,3,,9,,"Honolulu, HI
(21.306939558000465, -157.85832571099974)",
"Fresno, CA",2014,13,143,,97,,30,,10,,5,,1,,12,,"Fresno, CA
(36.74772743700049, -119.77236822099968)",
"Fort Worth, TX",2014,13,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.725405983000485, -97.32084717299966)",
"Canton, OH",2014,13,33,,26,,6,,1,,,-,,-,1,,"Canton, OH
(40.79894971400046, -81.37844575399964)",
"Kansas City, KS",2014,13,24,,17,,7,,,-,,-,,-,2,,"Kansas City, KS
(39.114166258000466, -94.62745963399965)",
"New York City, NY",2014,13,1091,,773,,232,,55,,11,,20,,60,,"New York City, NY
(40.71426755700048, -74.00596858999967)",
"Duluth, MN",2014,13,37,,29,,5,,2,,1,,,-,2,,"Duluth, MN
(46.78326944800045, -92.10657711699969)",
"Evansville, IN",2014,13,32,,28,,4,,,-,,-,,-,2,,"Evansville, IN
(37.97475929000046, -87.55584710499966)",
"Minneapolis, MN",2014,13,74,,51,,12,,1,,5,,5,,3,,"Minneapolis, MN
(44.979966969000486, -93.26383843199966)",
"New Orleans, LA",2014,13,62,,34,,13,,9,,4,,2,,,-,"New Orleans, LA
(29.95464811000045, -90.07506927499969)",
New England,2014,14,608,,421,,134,,35,,9,,9,,65,,,
"Fall River, MA",2014,14,19,,15,,3,,1,,,-,,-,6,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Cambridge, MA",2014,14,20,,14,,4,,2,,,-,,-,1,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Boston, MA",2014,14,143,,88,,32,,17,,2,,4,,14,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,14,41,,33,,4,,2,,2,,,-,6,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
Mid. Atlantic,2014,14,1843,,1319,,401,,80,,27,,16,,106,,,
E.N. Central,2014,14,1986,,1355,,461,,105,,34,,31,,141,,,
W.N. Central,2014,14,682,,435,,180,,29,,18,,18,,54,,,
S. Atlantic,2014,14,1165,,726,,318,,65,,33,,23,,68,,,
"Washington, D.C.",2014,14,150,,82,,45,,10,,2,,11,,13,,,
E.S. Central,2014,14,933,,613,,224,,53,,22,,21,,69,,,
W.S. Central,2014,14,1489,,967,,365,,89,,39,,28,,92,,,
Mountain,2014,14,1218,,813,,293,,72,,24,,16,,66,,,
Pacific,2014,14,1765,,1255,,373,,87,,27,,23,,134,,,
Total¶,2014,14,11689,,7904,,2749,,615,,233,,185,,795,,,
"Camden, NJ",2014,14,29,,21,,7,,1,,,-,,-,2,,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Buffalo, NY",2014,14,93,,66,,23,,2,,2,,,-,10,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Richmond, VA",2014,14,60,,37,,20,,2,,1,,,-,3,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Chattanooga, TN",2014,14,101,,76,,21,,3,,1,,,-,10,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"San Francisco, CA",2014,14,108,,67,,35,,4,,2,,,-,6,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"Fresno, CA",2014,14,128,,85,,31,,7,,3,,2,,13,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"St. Louis, MO",2014,14,64,,36,,15,,6,,3,,4,,4,,"St Louis, MO
(38.62775018400049, -90.19955850799965)",
"Waterbury, CT",2014,14,30,,24,,5,,,-,,-,1,,2,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Pasadena, CA",2014,14,22,,16,,6,,,-,,-,,-,5,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Seattle, WA",2014,14,106,,74,,26,,3,,1,,2,,8,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Long Beach, CA",2014,14,58,,45,,8,,1,,3,,1,,7,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Hartford, CT",2014,14,63,,42,,16,,3,,1,,1,,2,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Fort Wayne, IN",2014,14,89,,59,,23,,4,,2,,1,,5,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Reading, PA",2014,14,31,,24,,6,,,-,1,,,-,3,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"El Paso, TX",2014,14,115,,84,,20,,5,,4,,2,,3,,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Charlotte, NC",2014,14,138,,96,,29,,4,,7,,2,,11,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Fort Worth, TX",2014,14,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Trenton, NJ",2014,14,25,,14,,9,,1,,1,,,-,1,,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"St. Paul, MN",2014,14,65,,41,,21,,,-,,-,3,,5,,"St Paul, MN
(44.9438177180005, -93.09331667699968)",
"Albany, NY",2014,14,41,,26,,12,,2,,1,,,-,5,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Pittsburgh, PA§",2014,14,40,,32,,6,,2,,,-,,-,3,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Providence, RI",2014,14,65,,53,,9,,2,,1,,,-,6,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"St. Petersburg, FL",2014,14,62,,40,,19,,3,,,-,,-,4,,"St Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Corpus Christi, TX",2014,14,76,,47,,23,,3,,1,,2,,4,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"San Diego, CA",2014,14,158,,116,,27,,9,,1,,5,,11,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"New Haven, CT",2014,14,39,,24,,13,,1,,,-,1,,4,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Albuquerque, NM",2014,14,129,,92,,26,,6,,4,,1,,12,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Kansas City, MO",2014,14,98,,61,,28,,2,,2,,3,,5,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Denver, CO",2014,14,65,,45,,14,,2,,2,,2,,3,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Dayton, OH",2014,14,117,,83,,27,,5,,2,,,-,10,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Schenectady, NY",2014,14,19,,17,,2,,,-,,-,,-,1,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Gary, IN",2014,14,21,,13,,4,,2,,2,,,-,1,,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Shreveport, LA",2014,14,53,,33,,10,,3,,4,,3,,5,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Wilmington, DE",2014,14,4,,2,,2,,,-,,-,,-,,-,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
"Little Rock, AR",2014,14,103,,54,,35,,7,,6,,1,,8,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"Philadelphia, PA",2014,14,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Tampa, FL",2014,14,106,,64,,30,,7,,3,,2,,8,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"San Jose, CA",2014,14,180,,137,,31,,8,,1,,3,,10,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Syracuse, NY",2014,14,67,,52,,13,,1,,1,,,-,5,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Lincoln, NC",2014,14,36,,27,,7,,,-,1,,1,,1,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"San Antonio, TX",2014,14,260,,180,,57,,13,,5,,5,,25,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Grand Rapids, MI",2014,14,64,,52,,10,,1,,,-,1,,8,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Scranton, PA",2014,14,33,,26,,6,,1,,,-,,-,3,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Boise, ID",2014,14,76,,59,,13,,3,,1,,,-,2,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Ogden, UT",2014,14,29,,21,,6,,1,,,-,1,,2,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Indianapolis, IN",2014,14,210,,122,,61,,16,,6,,5,,19,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Honolulu, HI",2014,14,87,,67,,13,,5,,1,,1,,10,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Nashville, TN",2014,14,135,,78,,41,,10,,4,,2,,12,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
"South Bend, IN",2014,14,52,,40,,9,,2,,,-,1,,4,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Dallas, TX",2014,14,221,,126,,61,,18,,10,,6,,21,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"Rockford, IL",2014,14,53,,38,,12,,3,,,-,,-,3,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"Las Vegas, NV",2014,14,307,,194,,80,,24,,7,,2,,19,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Tulsa, OK",2014,14,55,,45,,4,,3,,,-,3,,4,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
"Allentown, PA",2014,14,28,,23,,5,,,-,,-,,-,,-,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Baton Rouge, LA",2014,14,82,,52,,18,,6,,3,,3,,4,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Duluth, MN",2014,14,27,,19,,6,,1,,1,,,-,3,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Baltimore, MD",2014,14,135,,69,,51,,10,,4,,1,,9,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Glendale, CA",2014,14,46,,35,,9,,2,,,-,,-,7,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Canton, OH",2014,14,39,,30,,7,,2,,,-,,-,5,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"New Orleans, LA",2014,14,43,,24,,10,,9,,,-,,-,,-,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"Cleveland, OH",2014,14,265,,198,,51,,10,,4,,2,,18,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Los Angeles, CA",2014,14,249,,167,,55,,18,,4,,5,,20,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Milwaukee, WI",2014,14,85,,57,,21,,6,,,-,1,,5,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Portland, OR",2014,14,121,,84,,30,,4,,2,,1,,3,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Springfield, MA",2014,14,50,,36,,12,,1,,1,,,-,5,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Worcester, MA",2014,14,76,,48,,21,,4,,1,,2,,15,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
"Sacramento, CA",2014,14,240,,168,,51,,14,,5,,2,,15,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"Salt Lake City, UT",2014,14,139,,88,,32,,13,,2,,4,,7,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Montgomery, AL",2014,14,70,,53,,16,,1,,,-,,-,5,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Erie, PA",2014,14,45,,31,,12,,2,,,-,,-,4,,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Lexington, KY",2014,14,79,,50,,21,,3,,3,,2,,,-,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,14,183,,119,,46,,10,,7,,1,,16,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Paterson, NJ",2014,14,19,,11,,6,,2,,,-,,-,2,,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"New York City, NY",2014,14,1109,,800,,225,,57,,15,,12,,44,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
"Rochester, NY",2014,14,158,,117,,31,,5,,4,,1,,10,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Wichita, KS",2014,14,89,,53,,26,,8,,2,,,-,8,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
"Minneapolis, MN",2014,14,69,,40,,22,,5,,1,,1,,6,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Birmingham, AL",2014,14,171,,105,,39,,16,,3,,8,,6,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Tucson, AZ",2014,14,184,,128,,47,,7,,2,,,-,5,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
"Norfolk, VA",2014,14,74,,48,,16,,3,,4,,3,,5,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Cincinnati, OH",2014,14,78,,48,,20,,7,,2,,1,,6,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Toledo, OH",2014,14,124,,94,,24,,3,,1,,2,,7,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,14,,U,,U,,U,,U,,U,,U,,U,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
"Jersey City, NJ",2014,14,20,,11,,8,,,-,1,,,-,7,,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"Kansas City, KS",2014,14,32,,20,,11,,1,,,-,,-,,-,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Pueblo, CO",2014,14,40,,31,,9,,,-,,-,,-,,-,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Lowell, MA",2014,14,19,,15,,3,,1,,,-,,-,2,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,14,6,,4,,1,,1,,,-,,-,1,,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"Peoria, IL",2014,14,45,,32,,11,,1,,,-,1,,3,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Atlanta, GA",2014,14,121,,73,,35,,10,,1,,2,,4,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"New Bedford, MA",2014,14,30,,21,,9,,,-,,-,,-,1,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"Spokane, WA",2014,14,71,,51,,16,,3,,,-,1,,3,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Miami, FL",2014,14,78,,53,,17,,3,,5,,,-,1,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Lansing, MI",2014,14,48,,36,,7,,4,,1,,,-,3,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Utica, NY",2014,14,16,,13,,3,,,-,,-,,-,1,,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Elizabeth, NJ",2014,14,11,,7,,4,,,-,,-,,-,2,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Mobile, AL",2014,14,99,,71,,19,,4,,1,,4,,9,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Tacoma, WA",2014,14,131,,92,,27,,8,,4,,,-,9,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
"Colorado Springs, CO",2014,14,75,,51,,17,,3,,3,,1,,3,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Evansville, IN",2014,14,59,,46,,9,,2,,1,,1,,7,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Savannah, GA",2014,14,75,,54,,16,,3,,2,,,-,2,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"Santa Cruz, CA",2014,14,41,,36,,5,,,-,,-,,-,5,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Jacksonville, FL",2014,14,162,,108,,38,,10,,4,,2,,8,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Knoxville, TN",2014,14,95,,61,,21,,6,,3,,4,,11,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Akron, OH",2014,14,52,,36,,10,,3,,2,,1,,4,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Somerville, MA",2014,14,7,,4,,2,,,-,1,,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Columbus, OH",2014,14,208,,135,,52,,12,,4,,5,,7,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Des Moines, IA",2014,14,83,,55,,18,,6,,3,,1,,11,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Detroit, MI",2014,14,116,,74,,33,,6,,2,,1,,11,,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Newark, NJ",2014,14,39,,15,,16,,4,,1,,3,,2,,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Berkeley, CA",2014,14,19,,15,,3,,1,,,-,,-,2,,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Omaha, NE",2014,14,119,,83,,26,,,-,5,,5,,11,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"Chicago, IL",2014,14,261,,162,,70,,16,,5,,8,,15,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Austin, TX",2014,14,116,,75,,33,,6,,2,,,-,9,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Phoenix, AZ",2014,14,174,,104,,49,,13,,3,,5,,13,,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Yonkers, NY",2014,14,20,,13,,7,,,-,,-,,-,1,,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
"Houston, TX",2014,14,365,,247,,94,,16,,4,,3,,9,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
